commercial;contact;entreprise;nom_projet;localisation;ville;region;pays;email;telephone;type_client;type_projet;produits;statut;potentiel;canal_origine;flux_type;budget_mad;probabilite;commentaire;date_closing_est;prochaine_relance
Bruno;TGCC;TGCC;SALLE SPORT FES;Fès-Meknès;;Fès-Meknès;Maroc;;;;Commercial;;VISITE;FAIBLE;;;8839000;LOW;;01/09/2026;
Bruno;CGI;CGI;VILLAS TAGHAZOUT BAY P23;Souss-Massa;;Souss-Massa;Maroc;;;;Residential;;PERDUE;MOYEN;;;8333732;LOW;;01/09/2026;
Amine;PALM CALIFORNIE;PALM CALIFORNIE;PALM CALIFORNIE;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;VISITE;MOYEN;;;4000000;MED;;15/07/2026;
Amine;BATIKRAFT;BATIKRAFT;RESIDENCE EL BARNOUSSI;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;VISITE;MOYEN;;;4000000;MED;;15/07/2026;
Amine;JAMAII;JAMAII;JNANE AL OLFA;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;VISITE;MOYEN;;;2100000;HIGH;;15/07/2026;
Amine;AMMA IMMO;AMMA IMMO;RESIDENCE ALMAS;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;OFFRE;IMPORTANT;;;1800000;HIGH;TEMOIN EN ATTENTE DE POSE SUIVANT LA AVANCEMENT CHANTIER;04/05/2026;
Bruno;GROUPE AHOCIENIA;GROUPE AHOCIENIA;VILLA CYPRES GROUPE AH;RABAT;RABAT;Rabat-Salé-Kénitra;Maroc;;;;Residential;;VISITE;MOYEN;;;8000000;MED;;30/04/2026;
Bruno;SEG;SEG;ZAER BOIS;RABAT;RABAT;Rabat-Salé-Kénitra;Maroc;;;;Residential;;VISITE;FAIBLE;;;7900000;LOW;;01/09/2026;
Bruno;MFADEL;MFADEL;SOHAUS APPARTEMENT CUISINE;CASABLANCA;CASABLANCA;Casablanca-Settat;Maroc;;;;Residential;;VISITE;MOYEN;;;7750000;MED;;30/06/2026;
Bruno;MFADEL;MFADEL;SOHAUS APPARTEMENT BOIS;CASABLANCA;CASABLANCA;Casablanca-Settat;Maroc;;;;Residential;;VISITE;MOYEN;;;7726000;MED;;30/06/2026;
Oussama;CMS;CMS;SIÈGE ATTIJARI ABIDJAN;Abidjan;Abidjan;;Côte d'Ivoire;;;;Commercial;;PERDUE;MOYEN;;;7400000;LOW;;01/04/2026;
Bruno;BANKAI;BANKAI;NOOR PRESTIGE 400 APPT;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;VISITE;IMPORTANT;;;7120000;HIGH;;01/09/2026;
Bruno;YAMED;YAMED;CURIO;CASABLANCA;CASABLANCA;Casablanca-Settat;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;9800000;HIGH;;30/06/2026;
Bruno;JULIA;JULIA;MRK 350 APPART BOIS;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;CHIFFRAGE;FAIBLE;;;7000000;LOW;;01/09/2026;
Bruno;JULIA;JULIA;MRK 350 APPART CUISINE;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;CHIFFRAGE;FAIBLE;;;7000000;LOW;;01/09/2026;
