Commercial;Client;Projet;Segment;Ville;Région;Pays;Potentiel (MAD);Probabilité;Pondéré (auto);Commentaire terrain;Statut;Prochaine Action;Date Action;Priorité (auto);? Alerte (auto);Date Closing Est.;Bucket Temporel (auto);Risque;Dernière MAJ;Score Priorité (auto);? Alertes V2 (renforcées);
Taoufik;BAAMRANI MOUHCINE;MARRAKECH ARAHA 2;Residential;Marrakech;Marrakech-Safi;Maroc;3 200 000;50%;1 600 000;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;18/06/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;TGCC;AEROPORT M5;Commercial;RABAT;Rabat-Salé-Kénitra;Maroc;3 172 000;50%;1 586 000;;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/06/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;AGADIR BAY;DOMINIUM HOTEL CASA;Hospitality;CASABLANCA;Casablanca-Settat;Maroc;3 100 000;10%;310 000;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;19/09/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;ADDOHA ABIDJA;TERRASSE D'ANGRE;Residential;Abidjan;;Côte d'Ivoire;3 100 000;100%;3 100 000;;Gagné;;;HIGH;;30/04/2026;Dépassé;;;37;;
Amine;RHNIMA TRAVAUX;MAJD TR2 ALOMRAN;Residential;Oued Zem;Béni Mellal-Khénifra;Maroc;600 000;100%;600 000;;Gagné;;;HIGH;;30/05/2026;Dépassé;;;37;;
Amine;DINO;CHP TAOURIRT;Institutional;Taourirt;Oriental;Maroc;35 000 000;50%;17 500 000;PREMIER OFFRE ENVOYER LE JEUDI DERNIER , ATTEND RETOUR CLIENT ET DECLANCHER UNE REUNION DE PRESENTATION OFFRE ET NEGOCIATION;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;18/06/2026;Dépassé;;;30;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;HOME EST;RÉSIDENCES FARAH SALAM LA ROCADE;Residential;Casablanca;Casablanca-Settat;Maroc;4 000 000;10%;400 000;UNE TRANCHR DÉJÀ ATTRIBUE A LA CONCURRENCE , UNE VISITE SEMAINE PROCHAINE POUR VOIR LE CLIENT POUR LES TRANCHE QUI RESTE;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/06/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;URBAT;SIDE PARK ZENATA;Residential;Zenata;Casablanca-Settat;Maroc;2 000 000;10%;200 000;CLIENT A DÉJÀ ATRIBUER LE MARCHE PLACARD ET CUISINE , RDV A CONFIRMER AVEC LE DG POUR PRESENTATION ET OFFRE DE PRIX (INGENIEUR PROJET);Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/06/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;TOMU;CHU AGADIR;Institutional;Agadir;Souss-Massa;Maroc;35 000 000;10%;3 500 000;OFFRE INITIAL ENVOYER , UN RDV AVEC LE CLIENT A MONTER EN MAI APRES L OBTENTION DE L;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;18/07/2026;Dépassé;;;15;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;TECHNISCAN;ABRAJ AYMEN;Residential;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;8 000 000;10%;800 000;Reunion tenu avec le gerant sur notre showroom , client interessé par notre gamme porte placard et cuisine , consultartion chez le methode pour la partie residence , projet de 10 tranche avec un hotel de 5 étoil et un centre de loisir;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;LEGACY PARTNER;TOURS HOTEL + RÉSIDENCE + BUREAUX CFC;Hospitality;Casablanca;Casablanca-Settat;Maroc;6 000 000;10%;600 000;REUNION TENU AVEC LE DT , LA CONSULTATION SERA ENVOYER LE LUNDI POUR LES TROIS BATIMENT;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;TANGER BAY;HOTEL HILTON BY CANOPY;Hospitality;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;5 000 000;10%;500 000;REUNION TENU AVEC LE MO MR NABIL ET ARCHITECT MR BAKHAT , PRESENTATION DE NOTRE REALISATION EN COURS AVEC YAMED , CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;TGCC;MALL TWF;Commercial;TANGER;Tanger-Tétouan-Al Hoceïma;Maroc;290 000;100%;290 000;;Gagné;;;HIGH;;30/09/2026;Dépassé;;;37;;
Hassan;BATI GLORIOUS;GROUPEMENT D HABITATION MS;Residential;Zenata;Casablanca-Settat;Maroc;3 000 000;10%;300 000;ils ont déjà un atelier menuiserie;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;19/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Hassan;MELKNA X;SUITES HOTEL R+5;Hospitality;Casablanca;Casablanca-Settat;Maroc;3 000 000;10%;300 000;Relance chef projet Mardi matin;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;19/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Taoufik;UNITED Marrakech;MARRAKECH PDM;Residential;Marrakech;Marrakech-Safi;Maroc;3 000 000;50%;1 500 000;le temoin et déjà pose attend le BC;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;18/06/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;SAM GROUPE IMMOBILIER;BEAULIEU ZENATA;Residential;Zenata;Casablanca-Settat;Maroc;5 000 000;10%;500 000;PRIS DE CONTACT SUR CHANTIER AVEC INGENIEUR DE PROJET PROJET EN DEMMARAGE PHASE FONDATION;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;OSE;TOURS HOTEL + RÉSIDENCE CFC;Hospitality;Casablanca;Casablanca-Settat;Maroc;4 000 000;10%;400 000;PROJET EN FONDATION AVEC ENTREPRISE DE GO OPTIMACO , CONTACT AVEC LE GERANT;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;17/08/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;AEDGE;EVIAN;Residential;CASABLANCA;Casablanca-Settat;Maroc;2 500 000;50%;1 250 000;;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/04/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Taoufik;BENZKERI;TEMARA;Residential;Rabat;Rabat-Salé-Kénitra;Maroc;2 500 000;10%;250 000;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;18/06/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;CGI;VILLAS TAGHAZOUT BAY P25.2;Residential;AGADIR;Souss-Massa;Maroc;2 409 440;0%;0;;Perdu;;;;;01/04/2026;Dépassé;;;0;;
Taoufik;GROUPE HAJI SAKANE;TEMARA;Residential;Rabat;Rabat-Salé-Kénitra;Maroc;2 400 000;50%;1 200 000;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;18/06/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Taoufik;AMC MARBRE;CASA LA ROCAD;Residential;Casablanca;Casablanca-Settat;Maroc;2 200 000;100%;2 200 000;;Gagné;;;HIGH;;04/05/2026;Dépassé;;;37;;
Bruno;TGCC;RESIDENCE FERMEE EN VILLAS BENGUERIR LOT CUIS;Residential;BEN GUERIR;Marrakech-Safi;Maroc;2 170 000;50%;1 085 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
